delay,freq,condition,key_resp.rt,textbox.text,,,
0.4,1000,exp,0.0076997,250,,exp,461.1111111
0.7,1000,exp,0.1605434,200,,unexp,520
0.1,1000,exp,0.9099001,300,,,
0.7,1000,exp,0.8409506,350,,difference,58.88888889
0.1,1000,exp,0.6478441,250,,,
0.1,1000,exp,0.712332,150,,,
0.4,1000,exp,0.6846341,200,,,
0.7,1000,exp,0.5966669,250,,,
0.4,1000,exp,0.682429,400,,,
0.4,1000,exp,0.8141097,350,,,
0.7,1000,exp,0.9355486,300,,,
0.1,1000,exp,0.6190799,150,,,
0.4,1000,exp,1.0683222,200,,,
0.4,1000,exp,0.4336809,450,,,
0.7,1000,exp,0.8161561,600,,,
0.7,1000,exp,0.8852777,500,,,
0.1,1000,exp,0.7714363,400,,,
0.1,1000,exp,0.439032,300,,,
0.7,1000,exp,0.5192529,500,,,
0.7,1000,exp,0.567138,700,,,
0.4,1000,exp,0.870522,500,,,
0.1,1000,exp,2.5173989,450,,,
0.7,1000,exp,0.3630027,700,,,
0.4,1000,exp,0.509889,500,,,
0.1,1000,exp,0.5043215,200,,,
0.1,1000,exp,0.7404236,200,,,
0.4,1000,exp,0.6497687,300,,,
0.7,1000,exp,0.6289419,400,,,
0.7,1000,exp,0.952126,500,,,
0.7,1000,exp,0.5834387,800,,,
0.4,1000,exp,0.6089324,500,,,
0.1,1000,exp,0.5521086,400,,,
0.4,1000,exp,1.0540082,750,,,
0.1,1000,exp,0.5241218,500,,,
0.1,1000,exp,0.9104849,600,,,
0.4,1000,exp,0.6179046,600,,,
0.7,1000,exp,0.4895728,700,,,
0.1,1000,exp,0.7135983,600,,,
0.4,1000,exp,0.6710874,600,,,
0.4,1000,exp,1.47427,500,,,
0.1,1000,exp,0.4349576,600,,,
0.7,1000,exp,1.3493486,900,,,
0.7,1000,exp,0.3448495,950,,,
0.1,1000,exp,0.5721154,600,,,
0.4,1000,exp,0.4543801,600,,,
0.4,400,unexp,1.1852937,200,,,
0.7,400,unexp,0.8757886,400,,,
0.1,400,unexp,0.6078186,300,,,
0.4,400,unexp,0.5228918,350,,,
0.7,400,unexp,1.909314,500,,,
0.1,400,unexp,0.7563947,400,,,
0.4,400,unexp,0.3498125,600,,,
0.1,400,unexp,0.5363075,500,,,
0.7,400,unexp,0.5023328,400,,,
0.1,400,unexp,0.6846704,500,,,
0.4,400,unexp,0.4162307,500,,,
0.7,400,unexp,0.5422082,800,,,
0.7,400,unexp,0.3086053,850,,,
0.4,400,unexp,0.571294,800,,,
0.1,400,unexp,0.5877777,700,,,
